System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva0-STATE,pva0-CURR_FREQ,pva1-STATE,pva1-CURR_FREQ,nvdec0-STATE,nvdec0-CURR_FREQ,nvdec1-STATE,nvdec1-CURR_FREQ,nvenc0-STATE,nvenc0-CURR_FREQ,nvenc1-STATE,nvenc1-CURR_FREQ,nvjpg-STATE,nvjpg-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,AUX-therm-CURR_TEMP,AUX-therm-SW_THROTTLING_TEMP,AUX-therm-SW_SHUTDOWN_TEMP,CPU-therm-CURR_TEMP,CPU-therm-SW_THROTTLING_TEMP,CPU-therm-SW_SHUTDOWN_TEMP,thermal_fan_est-CURR_TEMP,thermal_fan_est-SW_THROTTLING_TEMP,thermal_fan_est-SW_SHUTDOWN_TEMP,AO-therm-CURR_TEMP,AO-therm-SW_THROTTLING_TEMP,AO-therm-SW_SHUTDOWN_TEMP,GPU-therm-CURR_TEMP,GPU-therm-SW_THROTTLING_TEMP,GPU-therm-SW_SHUTDOWN_TEMP,PMIC-Die-CURR_TEMP,PMIC-Die-SW_THROTTLING_TEMP,PMIC-Die-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
15:08:45,MODE_20W_6CORE,True,1420.8,2,True,1420.8,10,True,1420.8,15,True,1420.8,6,True,1420.8,3,True,1420.8,3,306.0,9,1600.0,1,2292,6846,33,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,53.0,90.5,96.0,52.1,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1000,4984,6555,32760,32760,4984,160,797,2055,32760,32760,4984,264,1315,1455,quiet,130,0,101788,983430
15:08:46,MODE_20W_6CORE,True,1190.4,35,True,1190.4,13,True,1190.4,13,True,1190.4,10,True,1190.4,32,True,1190.4,19,306.0,0,1600.0,1,2305,6846,34,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,53.0,90.5,96.0,52.3,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1080,5382,6554,32760,32760,4984,240,1196,2055,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:47,MODE_20W_6CORE,True,1420.8,10,True,1420.8,19,True,1420.8,23,True,1420.8,6,True,1420.8,28,True,1420.8,21,306.0,0,1600.0,1,2305,6846,34,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,53.0,90.5,96.0,52.5,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1024,5103,6554,32760,32760,4984,184,917,2054,32760,32760,4984,264,1315,1455,quiet,130,0,101788,983430
15:08:48,MODE_20W_6CORE,True,1420.8,42,True,1420.8,20,True,1420.8,14,True,1420.8,36,True,1420.8,14,True,1420.8,18,306.0,0,1600.0,1,2325,6846,34,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,53.5,90.5,96.0,52.0,-,-,53.0,-,-,51.0,91.5,97.0,50.0,-,-,4000,5000,4984,1096,5462,6554,32760,32760,4976,256,1273,2054,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:49,MODE_20W_6CORE,True,1420.8,65,True,1420.8,94,True,1420.8,60,True,1420.8,58,True,1420.8,81,True,1420.8,65,306.0,0,1600.0,1,2375,6846,35,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,54.0,90.5,96.0,52.3,-,-,53.5,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1328,6618,6554,32760,32760,4976,488,2428,2054,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:50,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,306.0,0,1600.0,1,2404,6846,35,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,54.0,90.5,96.0,52.6,-,-,53.5,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1408,7017,6554,32760,32760,4976,560,2786,2054,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:51,MODE_20W_6CORE,True,1420.8,100,True,1420.8,99,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,306.0,0,1600.0,1,2434,6846,36,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.5,90.0,95.5,54.0,90.5,96.0,52.6,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4976,1408,7006,6554,32760,32760,4976,568,2826,2055,32760,32760,4968,264,1311,1455,quiet,130,0,101788,983430
15:08:52,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2452,6846,36,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.5,90.0,95.5,54.5,90.5,96.0,52.6,-,-,53.5,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1408,7017,6554,32760,32760,4976,560,2786,2055,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:53,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2469,6846,36,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.5,90.0,95.5,54.5,90.5,96.0,52.6,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1408,7017,6554,32760,32760,4976,560,2786,2055,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
15:08:54,MODE_20W_6CORE,True,1420.8,100,True,1420.8,99,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2476,6846,36,762,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,52.0,90.0,95.5,54.5,90.5,96.0,52.8,-,-,53.0,-,-,51.5,91.5,97.0,50.0,-,-,4000,5000,4984,1400,6977,6554,32760,32760,4984,560,2791,2055,32760,32760,4976,264,1313,1455,quiet,130,0,101788,983430
