System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva0-STATE,pva0-CURR_FREQ,pva1-STATE,pva1-CURR_FREQ,nvdec0-STATE,nvdec0-CURR_FREQ,nvdec1-STATE,nvdec1-CURR_FREQ,nvenc0-STATE,nvenc0-CURR_FREQ,nvenc1-STATE,nvenc1-CURR_FREQ,nvjpg-STATE,nvjpg-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,AUX-therm-CURR_TEMP,AUX-therm-SW_THROTTLING_TEMP,AUX-therm-SW_SHUTDOWN_TEMP,CPU-therm-CURR_TEMP,CPU-therm-SW_THROTTLING_TEMP,CPU-therm-SW_SHUTDOWN_TEMP,thermal_fan_est-CURR_TEMP,thermal_fan_est-SW_THROTTLING_TEMP,thermal_fan_est-SW_SHUTDOWN_TEMP,AO-therm-CURR_TEMP,AO-therm-SW_THROTTLING_TEMP,AO-therm-SW_SHUTDOWN_TEMP,GPU-therm-CURR_TEMP,GPU-therm-SW_THROTTLING_TEMP,GPU-therm-SW_SHUTDOWN_TEMP,PMIC-Die-CURR_TEMP,PMIC-Die-SW_THROTTLING_TEMP,PMIC-Die-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
14:44:05,MODE_20W_6CORE,True,1420.8,7,True,1420.8,8,True,1420.8,5,True,1420.8,2,True,1420.8,0,True,1420.8,15,204.0,13,1600.0,0,2216,6846,32,770,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,45.5,90.0,95.5,47.0,90.5,96.0,46.1,-,-,46.5,-,-,45.0,91.5,97.0,50.0,-,-,4000,5000,4984,960,4784,5802,32760,32760,4984,144,717,1497,32760,32760,4984,248,1236,1346,quiet,130,0,101724,983430
14:44:06,MODE_20W_6CORE,True,1420.8,35,True,1420.8,53,True,1420.8,28,True,1420.8,13,True,1420.8,17,True,1420.8,25,204.0,0,1600.0,1,2231,6846,33,769,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,45.5,90.0,95.5,47.0,90.5,96.0,46.1,-,-,46.0,-,-,45.0,91.5,97.0,50.0,-,-,4000,5000,4984,1112,5542,5802,32760,32760,4984,280,1395,1497,32760,32760,4976,256,1273,1346,quiet,130,0,101724,983430
14:44:07,MODE_20W_6CORE,True,1190.4,34,True,1420.8,30,True,1420.8,36,True,1420.8,35,True,1420.8,32,True,1420.8,25,204.0,0,1600.0,1,2246,6846,33,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.0,90.0,95.5,47.0,90.5,96.0,46.0,-,-,46.0,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4984,1056,5263,5801,32760,32760,4984,232,1156,1496,32760,32760,4976,256,1273,1346,quiet,130,0,101724,983430
14:44:08,MODE_20W_6CORE,True,1420.8,25,True,1420.8,6,True,1420.8,18,True,1420.8,11,True,1420.8,14,True,1420.8,3,204.0,21,1600.0,1,2249,6846,33,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,45.5,90.0,95.5,47.0,90.5,96.0,46.0,-,-,46.0,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4984,984,4904,5801,32760,32760,4984,160,797,1496,32760,32760,4984,248,1236,1346,quiet,130,0,101724,983430
14:44:09,MODE_20W_6CORE,True,1420.8,27,True,1420.8,62,True,1420.8,21,True,1420.8,34,True,1420.8,30,True,1420.8,21,204.0,0,1600.0,1,2292,6846,33,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.0,90.0,95.5,47.0,90.5,96.0,46.3,-,-,46.0,-,-,45.0,91.5,97.0,50.0,-,-,4000,5000,4984,1096,5462,5801,32760,32760,4976,264,1313,1496,32760,32760,4976,256,1273,1346,quiet,130,0,101724,983430
14:44:10,MODE_20W_6CORE,True,1420.8,86,True,1420.8,83,True,1420.8,85,True,1420.8,95,True,1420.8,85,True,1420.8,86,204.0,0,1600.0,1,2317,6846,34,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.0,90.0,95.5,48.0,90.5,96.0,46.1,-,-,46.5,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4976,1336,6647,5801,32760,32760,4976,512,2547,1497,32760,32760,4968,256,1271,1345,quiet,130,0,101724,983430
14:44:11,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,99,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,12,1600.0,1,2343,6846,34,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.5,90.0,95.5,48.0,90.5,96.0,46.5,-,-,46.5,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4976,1376,6846,5802,32760,32760,4968,544,2702,1497,32760,32760,4968,256,1271,1345,quiet,130,0,101724,983430
14:44:12,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2364,6846,35,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.0,90.0,95.5,48.0,90.5,96.0,46.5,-,-,46.0,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4976,1376,6846,5803,32760,32760,4968,544,2702,1498,32760,32760,4968,256,1271,1345,quiet,130,0,101724,983430
14:44:13,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,99,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2382,6846,35,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.0,90.0,95.5,48.0,90.5,96.0,46.5,-,-,46.5,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4976,1376,6846,5803,32760,32760,4968,544,2702,1499,32760,32760,4968,256,1271,1345,quiet,130,0,101724,983430
14:44:14,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,97,True,1420.8,100,True,1420.8,100,204.0,27,1600.0,1,2396,6846,35,768,3423,22,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,46.5,90.0,95.5,48.0,90.5,96.0,46.8,-,-,46.5,-,-,45.5,91.5,97.0,50.0,-,-,4000,5000,4976,1376,6846,5804,32760,32760,4968,544,2702,1500,32760,32760,4968,256,1271,1345,quiet,130,0,101724,983430
