System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva0-STATE,pva0-CURR_FREQ,pva1-STATE,pva1-CURR_FREQ,nvdec0-STATE,nvdec0-CURR_FREQ,nvdec1-STATE,nvdec1-CURR_FREQ,nvenc0-STATE,nvenc0-CURR_FREQ,nvenc1-STATE,nvenc1-CURR_FREQ,nvjpg-STATE,nvjpg-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,AUX-therm-CURR_TEMP,AUX-therm-SW_THROTTLING_TEMP,AUX-therm-SW_SHUTDOWN_TEMP,CPU-therm-CURR_TEMP,CPU-therm-SW_THROTTLING_TEMP,CPU-therm-SW_SHUTDOWN_TEMP,thermal_fan_est-CURR_TEMP,thermal_fan_est-SW_THROTTLING_TEMP,thermal_fan_est-SW_SHUTDOWN_TEMP,AO-therm-CURR_TEMP,AO-therm-SW_THROTTLING_TEMP,AO-therm-SW_SHUTDOWN_TEMP,GPU-therm-CURR_TEMP,GPU-therm-SW_THROTTLING_TEMP,GPU-therm-SW_SHUTDOWN_TEMP,PMIC-Die-CURR_TEMP,PMIC-Die-SW_THROTTLING_TEMP,PMIC-Die-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
14:47:45,MODE_20W_6CORE,True,1420.8,5,True,1420.8,5,True,1420.8,3,True,1190.4,0,True,1190.4,2,True,1190.4,1,306.0,0,1600.0,0,2145,6846,31,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,48.5,90.5,96.0,47.5,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,920,4585,5975,32760,32760,4984,104,518,1627,32760,32760,4984,248,1236,1369,quiet,130,0,101738,983430
14:47:46,MODE_20W_6CORE,True,1420.8,41,True,1420.8,43,True,1420.8,31,True,1420.8,19,True,1420.8,31,True,1420.8,19,204.0,36,1600.0,1,2158,6846,32,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,49.0,90.5,96.0,47.8,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,1112,5542,5975,32760,32760,4984,272,1355,1627,32760,32760,4976,256,1273,1369,quiet,130,0,101738,983430
14:47:47,MODE_20W_6CORE,True,1190.4,15,True,1190.4,17,True,1190.4,7,True,1190.4,15,True,1190.4,19,True,1190.4,21,306.0,0,1600.0,1,2158,6846,32,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,48.5,90.5,96.0,47.8,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,976,4864,5974,32760,32760,4984,152,757,1626,32760,32760,4984,248,1236,1369,quiet,130,0,101738,983430
14:47:48,MODE_20W_6CORE,True,1420.8,28,True,1420.8,18,True,1420.8,38,True,1420.8,17,True,1420.8,13,True,1420.8,70,306.0,0,1600.0,1,2202,6846,32,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,48.5,90.5,96.0,47.8,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,1088,5422,5974,32760,32760,4984,256,1275,1626,32760,32760,4976,256,1273,1368,quiet,130,0,101738,983430
14:47:49,MODE_20W_6CORE,True,1420.8,91,True,1420.8,88,True,1420.8,95,True,1420.8,88,True,1420.8,86,True,1420.8,99,306.0,0,1600.0,1,2240,6846,33,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,49.5,90.5,96.0,48.0,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,1344,6698,5974,32760,32760,4976,512,2547,1627,32760,32760,4976,256,1273,1368,quiet,130,0,101738,983430
14:47:50,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,306.0,0,1600.0,1,2256,6846,33,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,49.5,90.5,96.0,48.0,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4976,1376,6846,5975,32760,32760,4968,544,2702,1627,32760,32760,4968,256,1271,1368,quiet,130,0,101738,983430
14:47:51,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2285,6846,33,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,48.0,90.0,95.5,49.5,90.5,96.0,48.1,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4976,1384,6886,5975,32760,32760,4976,544,2706,1628,32760,32760,4968,256,1271,1368,quiet,130,0,101738,983430
14:47:52,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2302,6846,34,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,48.0,90.0,95.5,50.0,90.5,96.0,48.1,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4976,1384,6886,5976,32760,32760,4968,552,2742,1629,32760,32760,4968,256,1271,1368,quiet,130,0,101738,983430
14:47:53,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2318,6846,34,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,47.5,90.0,95.5,49.5,90.5,96.0,48.3,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,1376,6857,5976,32760,32760,4976,544,2706,1629,32760,32760,4976,256,1273,1368,quiet,130,0,101738,983430
14:47:54,MODE_20W_6CORE,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,True,1420.8,100,204.0,0,1600.0,1,2327,6846,34,730,3423,21,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,48.0,90.0,95.5,50.0,90.5,96.0,48.1,-,-,48.0,-,-,47.0,91.5,97.0,50.0,-,-,4000,5000,4984,1376,6857,5977,32760,32760,4984,544,2711,1630,32760,32760,4984,256,1275,1368,quiet,130,0,101738,983430
